ID#,q0,q999,q1000,q1001,q1002,q1003,q1004,q1005,q10000,q701,q702,q703,q704,q705,q706,q706b_2,q706b_3,q7060,q707,q934,q708,q921,q922,q601,q903,q54,q55,q56,q57,q58,q59,q60,q61,q62,q63,q64,q65,q66,q67,q68,q69,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99,q100,q101,q102,q103,q104,q105,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,q117,q118a,q118b,q120,q121,q122,q123,q124a,q124b,q125a,q125b,q126,q127,q128,q129,q130,q131,q132,q133,wt,wt2,wt3
2005-1038,Morocco,5,,,,,2,,,55,1,2,2,2,2,,,,1,2,1,5,2,2.00,1.00,1,1,4,10,5,5,5,1,5,5,5,5,5,,,,6,,,,,,4,,,,,,4,,,,,,1,,,1,2,2,2,3,4,3,3,8,8,4,1,2,1,5,5,1,1,1,5,5,5,2,1,2,2,2,1,3,1,5,3,3,1,3,7,,101,7,2,3,3,1,2,3,1.38,1.09,1.50
2005-1039,Morocco,5,,,,,2,,,34,2,2,2,2,2,,,,3,2,1,1,2,2.00,1.00,1,1,3,4,4,5,1,1,5,5,4,4,4,,,,10,,,,,,,,,,,,7,,,,,,,,,1,2,3,2,2,3,3,3,8,8,8,2,1,1,5,5,1,1,1,5,5,5,2,1,2,2,2,6,,2,5,1,1,1,3,17,18,101,7,2,3,3,2,4,3,1.38,1.09,1.50
2005-1040,Morocco,5,,,,,2,,,45,1,2,1,2,2,,,,3,2,1,2,2,2.00,1.00,1,1,3,2,4,1,1,3,5,5,4,5,5,,,,10,,,,,,,,,,,,7,,,,,,,,,1,2,1,2,2,4,3,3,8,7,7,2,2,5,5,5,2,1,1,5,2,5,2,1,2,2,2,1,3,2,3,1,2,1,3,10,3,25,7,2,1,3,2,4,3,1.38,1.09,1.50
2005-1041,Morocco,5,,,,,2,,,23,1,1,1,2,2,,,,4,1,1,2,2,1.00,2.00,1,1,1,4,3,5,5,2,3,5,5,2,5,,,,1,,,,,,6,,,,,,5,,,,,,1,,,1,2,2,2,2,4,3,3,7,7,5,1,2,5,5,5,1,1,1,5,1,5,2,1,2,2,2,2,4,2,6,1,2,3,1,10,3,25,1,2,1,3,1,4,1,0.61,1.09,0.67
2005-1042,Morocco,5,,,,,2,,,50,1,2,1,2,1,,,1,3,1,1,3,1,2.00,1.00,1,1,4,3,4,5,1,1,5,3,3,2,4,,,,6,,,,,,4,,,,,,7,,,,,,,,,1,2,1,2,2,4,3,3,8,7,8,1,2,5,5,5,1,1,1,5,1,5,2,1,2,2,2,2,4,3,6,1,1,1,3,26,14,4,16,2,3,3,2,2,1,1.38,1.09,1.50
2005-1043,Morocco,5,,,,,2,,,24,1,1,1,2,2,,,,4,1,1,3,1,1.00,2.00,1,1,11,,3,5,4,2,5,5,5,3,3,,,,4,,,,,,7,,,,,,5,,,,,,3,,,2,2,2,3,2,3,3,3,3,5,5,1,2,5,5,5,1,1,1,5,5,5,3,1,2,2,2,1,4,3,2,1,2,1,3,3,10,7,7,2,1,1,3,2,3,0.61,1.09,0.67
2005-1044,Morocco,5,,,,,2,,,64,1,1,1,2,2,,,,5,1,1,4,1,2.00,2.00,1,1,4,8,5,5,2,1,4,3,3,1,6,,,,4,,,,,,3,,,,,,7,,,,,,,,,4,2,2,1,3,4,3,3,5,4,4,1,2,2,4,5,6,6,1,5,1,5,2,1,3,2,2,1,3,2,2,1,1,1,3,31,3,6,19,1,1,3,2,3,3,0.57,1.09,0.61
2005-1045,Morocco,5,,,,,4,,,32,1,2,2,2,1,,,1,2,2,1,2,1,2.00,1.00,2,1,4,3,5,5,1,1,5,5,5,5,5,,,,4,,,,,,10,,,,,,3,,,,,,7,,,1,3,3,2,2,4,3,3,8,5,5,1,2,5,5,5,1,1,1,5,1,5,2,4,2,2,2,3,4,3,6,1,2,3,1,11,25,4,7,2,3,1,3,5,3,1.38,1.09,1.50
2005-1046,Morocco,5,,,,,4,,,28,1,2,1,1,1,,,1,4,1,1,2,1,1.00,2.00,1,1,4,10,5,5,4,3,4,5,4,5,5,,,,4,,,,,,3,,,,,,3,,,,,,7,,,1,3,3,3,4,4,3,3,8,8,8,1,2,6,5,5,1,1,1,5,1,5,2,4,2,2,2,3,4,3,5,1,2,3,1,6,11,40,15,2,3,1,3,2,6,0.61,1.09,0.67
2005-1047,Morocco,5,,,,,4,,,25,1,2,1,2,2,,,,6,2,1,1,1,1.00,2.00,2,2,,,,,,,,,,,,,,,3,,,,,,4,,,,,,7,,,,,,,,,1,2,1,2,2,4,3,3,7,6,7,2,2,6,5,5,1,1,1,5,1,5,2,2,3,2,2,2,3,3,6,1,1,3,1,7,14,42,8,2,3,3,2,4,1,0.61,1.09,0.67
2005-1048,Morocco,5,,,,,4,,,35,1,2,2,2,1,,,1,2,2,1,1,1,2.00,1.00,2,2,,,,,,,,,,,,,,,3,,,,,,4,,,,,,7,,,,,,,,,1,2,1,2,2,4,3,3,8,8,8,2,2,4,5,5,1,1,1,5,5,5,2,1,2,2,2,2,4,2,6,1,3,3,1,36,14,4,7,1,3,3,2,2,1,1.38,1.09,1.50
2005-1049,Morocco,5,,,,,4,,,47,1,2,2,2,2,,,,2,2,1,1,2,2.00,1.00,1,1,4,8,2,1,5,1,1,5,3,4,5,,,,7,,,,,,4,,,,,,5,,,,,,3,,,4,2,4,2,2,4,3,3,3,4,6,3,3,5,5,4,1,1,1,5,2,5,2,3,2,2,2,3,,1,5,1,2,3,1,11,,20,1,1,2,3,2,5,3,1.38,1.09,1.50
2005-1050,Morocco,5,,,,,4,,,63,2,2,2,2,1,,,1,1,2,1,1,2,2.00,1.00,2,2,,,,,,,,,,,,,,,6,,,,,,4,,,,,,7,,,,,,,,,1,2,1,2,3,4,3,4,4,8,4,1,2,1,5,5,1,1,1,5,5,5,2,1,2,2,2,2,4,1,5,3,3,1,3,101,,101,7,2,3,3,2,2,1,1.38,1.09,1.50
2005-1051,Morocco,5,,,,,4,,,37,1,1,1,2,2,,,,3,1,1,2,2,2.00,1.00,2,2,,,,,,,,,,,,,,,1,,,,,,4,,,,,,3,,,,,,2,,,3,3,3,2,3,2,3,4,5,5,5,1,2,1,5,5,1,1,1,4,4,5,3,1,3,3,2,2,,2,6,3,3,1,3,101,,27,2,2,1,3,5,2,1,1.38,1.09,1.50
2005-1052,Morocco,5,,,,,4,,,32,1,1,1,2,1,,,1,4,1,1,2,2,2.00,2.00,1,1,4,8,4,5,2,1,2,4,3,1,1,,,,1,,,,,,4,,,,,,3,,,,,,2,,,1,2,3,2,2,4,3,2,8,8,8,1,2,4,5,5,1,1,1,5,5,5,2,1,2,2,2,2,,2,5,2,2,3,1,5,,6,4,2,3,3,2,3,3,0.57,1.09,0.61
2005-1053,Morocco,5,,,,,4,,,19,1,1,1,2,2,,,,6,1,1,5,2,1.00,2.00,2,2,,,,,,,,,,,,,,,4,,,,,,1,,,,,,7,,,,,,,,,1,2,3,2,2,2,4,4,4,4,4,1,2,5,5,5,5,1,1,4,4,4,2,4,3,3,2,2,,2,5,1,1,1,3,101,,101,1,2,3,3,2,2,5,0.61,1.09,0.67
2005-1054,Morocco,5,,,,,4,,,30,1,2,1,2,1,,,1,6,1,1,3,1,2.00,2.00,1,1,3,4,4,5,3,4,5,5,5,4,5,,,,10,,,,,,,,,,,,7,,,,,,,,,3,3,3,1,3,4,3,3,8,4,4,1,2,4,5,5,2,1,1,5,4,5,2,1,2,2,2,3,4,3,6,1,2,1,3,25,2,6,1,2,1,1,2,2,5,0.57,1.09,0.61
2005-1055,Morocco,5,,,,,4,,,62,1,2,1,2,1,,,1,2,2,1,3,1,2.00,1.00,1,1,4,3,4,5,1,1,5,4,4,4,5,,,,3,,,,,,4,,,,,,7,,,,,,,,,1,2,1,2,2,4,3,3,7,7,5,2,2,6,5,5,1,1,1,5,1,5,2,1,3,2,2,1,2,3,6,1,3,1,3,7,29,4,7,2,3,3,2,4,1,1.38,1.09,1.50
2005-1056,Morocco,5,,,,,4,,,25,1,1,1,1,1,,,1,6,1,1,3,2,1.00,2.00,1,1,10,10,5,5,4,1,4,4,4,1,1,,,,4,,,,,,1,,,,,,7,,,,,,,,,1,2,3,1,2,1,2,4,8,8,8,1,2,1,5,5,1,1,1,4,4,4,2,2,3,2,2,1,,2,5,1,1,1,3,40,,14,1,1,1,3,1,2,6,0.61,1.09,0.67
2005-1057,Morocco,5,,,,,4,,,27,1,1,1,2,2,,,,3,1,1,3,2,1.00,1.00,1,1,10,4,1,5,1,1,2,5,1,1,5,,,,10,,,,,,,,,,,,5,,,,,,3,,,1,2,2,2,3,3,3,3,2,4,4,1,2,6,5,5,1,1,1,5,1,5,2,1,2,2,2,4,,1,6,1,2,1,3,29,6,6,7,2,3,3,2,2,3,1.50,1.09,1.62
2005-1058,Morocco,5,,,,,4,,,37,1,2,1,2,2,,,,2,2,1,4,1,2.00,1.00,1,1,4,3,4,5,1,1,5,4,5,4,5,,,,3,,,,,,4,,,,,,7,,,,,,,,,1,2,1,2,2,4,3,3,8,5,4,1,2,5,5,5,2,2,2,5,2,5,2,1,2,2,2,2,4,2,6,1,1,1,3,17,6,4,7,2,3,3,2,2,1,1.38,1.09,1.50
2005-1059,Morocco,5,,,,,4,,,27,1,2,1,2,2,,,,3,1,1,4,2,1.00,1.00,1,1,4,11,5,5,5,1,5,5,5,3,3,,,,1,,,,,,4,,,,,,7,,,,,,,,,3,2,2,2,2,4,3,3,8,4,4,1,2,5,5,5,1,1,1,4,4,5,2,1,2,2,2,2,4,2,6,1,2,1,3,26,,101,7,1,3,3,2,2,3,1.50,1.09,1.62
2005-1060,Morocco,5,,,,,4,,,48,2,1,1,2,1,,,1,4,1,1,4,1,2.00,2.00,1,1,4,9,5,4,2,1,4,4,2,1,1,,,,4,,,,,,1,,,,,,5,,,,,,2,,,3,2,2,2,2,4,3,2,3,4,4,1,2,1,5,5,1,1,1,1,5,5,2,2,2,3,2,4,,2,5,2,2,3,1,40,33,38,1,2,2,3,1,2,3,0.57,1.09,0.61
2005-1061,Morocco,5,,,,,4,,,36,1,2,1,2,2,,,,6,1,1,4,2,2.00,2.00,1,1,10,4,4,5,4,1,4,4,4,1,1,,,,10,,,,,,,,,,,,7,,,,,,,,,1,2,2,2,2,3,3,3,8,6,6,1,2,5,5,5,5,1,1,5,5,5,2,1,3,3,2,1,,2,6,3,3,3,1,101,,101,1,1,2,1,3,2,6,0.57,1.09,0.61
2005-1062,Morocco,5,,,,,1,,,54,1,2,1,2,2,,,,2,2,1,1,1,2.00,1.00,2,1,4,10,5,5,5,1,5,5,4,1,5,,,,10,,,,,,,,,,,,7,,,,,,,,,1,3,3,2,3,4,3,3,8,6,4,1,2,5,5,5,1,1,1,5,5,5,2,1,2,2,2,1,2,3,5,1,2,1,3,7,25,1,1,2,1,3,2,2,3,1.38,1.09,1.50
2005-1063,Morocco,5,,,,,1,,,60,1,2,1,2,2,,,,1,2,1,1,1,2.00,1.00,2,2,,,,,,,,,,,,,,,6,,,,,,4,,,,,,7,,,,,,,,,1,3,3,2,2,4,3,3,8,8,8,1,2,5,5,5,1,1,1,5,5,5,2,1,2,2,2,1,2,2,5,1,1,1,3,5,,7,7,3,3,3,6,2,3,1.38,1.09,1.50
2005-1064,Morocco,5,,,,,1,,,36,1,2,2,2,2,,,,1,2,1,5,2,2.00,1.00,2,2,,,,,,,,,,,,,,,8,,,,,,10,,,,,,4,,,,,,1,,,1,2,2,2,2,4,3,3,4,4,4,1,3,1,5,5,1,1,1,5,5,5,2,1,2,1,2,2,4,2,5,3,3,3,1,27,7,101,9,1,3,3,1,6,6,1.38,1.09,1.50
2005-1065,Morocco,5,,,,,1,,,44,1,1,1,2,2,,,,4,1,1,2,2,2.00,2.00,1,1,6,8,1,3,3,3,2,1,1,3,5,,,,7,,,,,,4,,,,,,4,,,,,,5,,,3,3,2,1,4,4,3,4,5,1,4,1,2,3,5,5,4,1,1,5,4,5,2,1,3,3,2,2,3,2,3,3,3,1,3,41,,1,15,1,1,1,3,4,6,0.57,1.09,0.61
2005-1066,Morocco,5,,,,,1,,,55,1,2,1,2,2,,,,6,2,1,4,1,2.00,2.00,1,1,4,8,5,5,5,1,5,5,5,3,5,,,,4,,,,,,10,,,,,,1,,,,,,5,,,2,2,1,1,2,3,3,3,8,8,5,1,2,6,5,5,2,1,1,5,3,5,2,3,3,3,2,1,3,3,3,3,3,3,1,3,10,7,101,1,1,1,3,2,1,0.57,1.09,0.61
2005-1067,Morocco,5,,,,,1,,,18,1,2,1,2,2,,,,3,2,1,4,1,1.00,1.00,1,1,4,8,5,5,5,3,5,5,5,3,5,,,,10,,,,,,,,,,,,7,,,,,,,,,3,2,2,2,3,4,3,3,7,4,4,1,2,5,5,5,1,1,1,5,5,5,2,1,2,2,2,1,3,3,2,1,1,3,1,41,21,5,1,3,3,3,1,2,1,1.50,1.09,1.62
2005-1068,Morocco,5,,,,,2,,,45,1,2,2,2,2,,,,2,2,1,2,1,2.00,1.00,1,1,3,4,5,5,1,2,5,4,4,4,5,,,,3,,,,,,4,,,,,,7,,,,,,,,,2,3,3,3,4,4,3,3,8,4,5,1,2,4,5,5,1,1,1,5,1,5,2,4,2,2,2,2,3,3,6,1,2,1,3,6,14,42,15,1,1,3,1,4,6,1.38,1.09,1.50
2005-1069,Morocco,5,,,,,2,,,46,1,2,1,2,2,,,,6,2,1,3,1,2.00,2.00,1,1,4,3,5,5,2,1,5,5,5,4,5,,,,4,,,,,,3,,,,,,7,,,,,,,,,1,3,2,2,2,4,3,3,8,7,4,1,2,5,5,5,1,1,1,5,1,5,3,4,3,2,2,2,3,3,6,1,2,1,3,101,,4,7,2,3,1,3,4,3,0.57,1.09,0.61
2005-1070,Morocco,5,,,,,2,,,29,1,2,2,2,2,,,,4,1,1,3,1,1.00,2.00,2,1,4,8,5,5,5,4,5,5,5,4,5,,,,4,,,,,,7,,,,,,5,,,,,,3,,,2,3,3,1,1,4,3,3,8,2,4,1,2,5,5,5,1,1,1,5,1,1,2,1,2,2,2,3,4,3,2,1,2,3,1,33,19,15,20,1,1,5,6,2,6,0.61,1.09,0.67
2005-1071,Morocco,5,,,,,2,,,29,1,2,2,2,2,,,,1,2,1,5,1,1.00,1.00,2,1,4,7,5,5,4,1,4,4,1,1,5,,,,4,,,,,,8,,,,,,7,,,,,,,,,4,2,1,1,3,2,3,3,7,4,4,2,2,5,5,5,1,1,1,5,5,5,2,1,1,3,2,2,3,3,2,1,1,1,3,41,48,17,7,2,4,3,1,2,6,1.50,1.09,1.62
2005-1072,Morocco,5,,,,,2,,,25,1,2,2,2,2,,,,1,2,1,1,1,1.00,1.00,2,1,4,10,5,5,5,1,5,5,5,1,5,,,,4,,,,,,7,,,,,,4,,,,,,7,,,3,1,2,1,3,4,3,3,4,5,5,1,2,5,5,6,6,1,1,5,5,5,2,2,4,1,2,2,3,3,2,1,2,3,1,6,40,66,37,3,1,3,1,3,6,1.50,1.09,1.62
2005-1073,Morocco,5,,,,,2,,,47,1,2,1,2,2,,,,6,2,1,3,1,2.00,2.00,1,1,3,4,5,5,1,1,4,4,4,4,4,,,,3,,,,,,4,,,,,,7,,,,,,,,,1,3,3,2,2,4,3,3,7,7,7,2,2,5,5,5,1,1,1,5,1,5,2,4,2,2,2,1,3,3,6,1,2,3,1,6,14,58,34,1,1,1,3,4,6,0.57,1.09,0.61
2005-1074,Morocco,5,,,,,2,,,38,1,2,1,2,2,,,,4,2,1,3,1,2.00,2.00,1,1,4,8,5,5,5,1,5,5,5,1,5,,,,10,,,,,,,,,,,,3,,,,,,1,,,2,3,3,3,1,4,3,3,8,4,4,1,2,5,5,5,1,1,1,5,1,5,2,1,3,2,2,3,4,3,6,1,2,3,1,5,,7,7,3,1,1,2,2,1,0.57,1.09,0.61
2005-1075,Morocco,5,,,,,2,,,20,1,2,2,2,2,,,,1,2,1,2,1,1.00,1.00,2,1,4,10,5,5,5,1,5,5,5,5,5,,,,7,,,,,,4,,,,,,1,,,,,,5,,,1,2,2,4,4,3,3,3,4,4,4,1,2,5,5,5,3,2,2,5,6,5,2,1,2,3,2,2,4,2,5,3,3,3,1,23,7,5,1,3,1,3,6,2,1,1.50,1.09,1.62
2005-1076,Morocco,5,,,,,2,,,56,1,2,1,2,1,,,2,3,2,1,4,1,2.00,1.00,1,1,4,3,5,5,1,1,4,4,5,3,5,,,,6,,,,,,4,,,,,,7,,,,,,,,,1,2,1,2,2,4,3,3,7,7,4,2,2,5,5,5,1,1,1,5,1,5,2,1,2,2,2,2,3,3,6,1,1,3,1,7,29,4,7,4,3,3,2,4,1,1.38,1.09,1.50
2005-1077,Morocco,5,,,,,2,,,52,1,2,1,2,2,,,,6,2,1,3,1,2.00,2.00,1,1,3,8,5,5,1,1,5,5,5,3,5,,,,3,,,,,,4,,,,,,7,,,,,,,,,2,2,3,4,3,4,3,3,3,8,4,2,2,5,5,5,1,1,1,5,1,5,2,2,2,1,2,1,2,3,6,1,1,1,3,10,37,20,7,2,1,3,1,2,1,0.57,1.09,0.61
2005-1078,Morocco,5,,,,,2,,,19,1,2,1,2,2,,,,6,1,1,2,1,1.00,2.00,1,1,4,1,1,5,3,1,5,4,4,1,1,,,,1,,,,,,8,,,,,,3,,,,,,1,,,1,3,1,1,2,3,3,2,3,3,3,1,2,1,5,3,1,1,1,5,5,5,2,2,3,2,2,2,4,2,6,1,1,1,3,101,,8,7,2,4,3,1,2,5,0.61,1.09,0.67
2005-1079,Morocco,5,,,,,2,,,22,1,1,1,2,2,,,,4,1,1,2,1,1.00,2.00,1,1,10,10,4,5,5,2,5,3,3,1,1,,,,10,,,,,,,,,,,,5,,,,,,1,,,1,2,3,3,3,2,2,2,5,4,4,2,2,4,5,5,3,1,1,5,1,5,1,2,3,3,2,6,,3,6,1,1,1,3,10,,2,7,2,1,3,5,2,3,0.61,1.09,0.67
2005-1080,Morocco,5,,,,,2,,,61,1,2,1,2,2,,,,6,2,1,1,2,2.00,2.00,1,1,10,4,5,5,5,3,5,5,5,5,5,,,,5,,,,,,4,,,,,,4,,,,,,1,,,2,2,2,2,2,4,3,3,8,8,4,2,2,5,5,5,1,1,1,1,1,5,2,1,2,2,3,2,3,1,5,1,3,3,1,101,,6,1,2,3,3,1,4,2,0.57,1.09,0.61
2005-1081,Morocco,5,,,,,2,,,53,2,2,1,2,2,,,,2,2,1,2,2,2.00,1.00,1,1,4,7,1,3,3,1,5,3,1,3,2,,,,6,,,,,,4,,,,,,4,,,,,,1,,,2,3,3,2,4,3,3,4,6,4,6,1,3,6,3,3,3,3,4,3,3,4,2,1,3,3,2,1,3,3,5,3,3,1,3,27,,17,1,2,3,1,3,4,3,1.38,1.09,1.50
2005-1082,Morocco,5,,,,,2,,,40,1,2,1,2,2,,,,4,1,1,2,2,2.00,2.00,1,1,10,9,3,5,5,3,5,5,5,1,1,,,,4,,,,,,8,,,,,,5,,,,,,1,,,1,2,2,1,3,3,2,2,4,4,4,1,2,3,5,5,1,1,1,5,3,5,2,1,2,2,2,3,4,1,4,3,3,1,3,27,7,71,6,1,1,3,2,3,6,0.57,1.09,0.61
2005-1083,Morocco,5,,,,,2,,,64,2,2,2,2,2,,,,1,2,1,1,2,2.00,1.00,2,2,,,,,,,,,,,,,,,8,,,,,,6,,,,,,7,,,,,,,,,1,2,1,2,3,4,3,3,8,4,4,1,2,6,6,5,6,6,6,6,6,6,2,1,2,4,2,1,2,4,7,3,3,3,1,101,,101,7,3,1,3,2,2,2,1.38,1.09,1.50
2005-1084,Morocco,5,,,,,2,,,34,1,1,1,2,2,,,,4,1,1,3,2,2.00,2.00,1,1,5,6,3,4,5,2,1,1,5,2,5,,,,4,,,,,,8,,,,,,3,,,,,,1,,,1,2,1,2,2,3,3,3,8,4,4,1,2,5,5,5,1,1,1,5,1,5,2,1,2,2,2,1,4,2,2,1,1,1,3,3,10,1,15,2,1,1,2,3,2,0.57,1.09,0.61
2005-1085,Morocco,5,,,,,2,,,54,1,2,2,2,2,,,,6,2,1,5,2,2.00,2.00,2,2,,,,,,,,,,,,,,,6,,,,,,10,,,,,,4,,,,,,3,,,5,3,3,3,4,4,3,4,4,5,4,1,3,6,6,5,6,6,6,6,6,5,2,1,3,3,2,1,,4,7,3,3,1,3,101,,25,7,1,3,1,3,5,6,0.57,1.09,0.61
2005-1086,Morocco,5,,,,,3,,,29,1,2,1,2,2,,,,3,2,1,2,1,1.00,1.00,1,1,4,10,5,5,5,1,4,5,3,3,5,,,,8,,,,,,7,,,,,,5,,,,,,1,,,1,3,3,2,2,4,3,3,8,7,8,1,2,5,5,5,1,1,1,5,1,5,2,1,2,2,2,3,4,3,2,2,2,3,1,5,,7,7,3,1,1,6,2,1,1.50,1.09,1.62
2005-1087,Morocco,5,,,,,3,,,56,1,2,2,2,2,,,,1,2,1,1,1,2.00,1.00,2,2,,,,,,,,,,,,,,,10,,,,,,,,,,,,7,,,,,,,,,1,3,1,2,1,4,3,3,4,4,4,2,2,1,5,5,1,1,1,5,5,5,2,1,2,2,2,2,3,3,3,1,1,3,1,24,7,12,8,1,1,1,3,2,4,1.38,1.09,1.50
2005-1088,Morocco,5,,,,,3,,,29,1,2,1,2,1,,,1,4,1,1,5,1,1.00,2.00,2,1,4,8,4,4,4,1,4,1,5,1,4,,,,4,,,,,,6,,,,,,3,,,,,,5,,,1,3,1,1,2,4,3,3,3,3,3,1,2,1,5,5,1,1,1,5,1,5,2,1,2,2,2,2,3,3,2,1,2,3,1,19,,2,1,1,1,1,6,2,6,0.61,1.09,0.67
2005-1089,Morocco,5,,,,,3,,,28,1,1,1,1,2,,,,4,1,1,4,1,1.00,2.00,1,1,2,3,3,1,1,3,3,4,1,4,5,,,,10,,,,,,,,,,,,1,,,,,,5,,,4,2,3,2,3,3,3,3,6,5,4,2,2,5,5,5,6,1,1,5,4,5,3,2,3,2,3,2,3,2,5,2,2,1,3,3,31,6,19,2,2,3,2,2,2,0.61,1.09,0.67
2005-1090,Morocco,5,,,,,3,,,34,1,1,1,2,2,,,,3,1,1,1,2,2.00,1.00,1,1,4,10,5,5,4,2,3,5,5,5,5,,,,6,,,,,,4,,,,,,7,,,,,,,,,1,2,2,2,2,4,3,3,4,4,4,1,2,5,5,5,1,1,1,5,5,5,2,1,2,2,2,3,4,2,5,2,2,1,3,5,,1,1,3,1,3,6,4,4,1.38,1.09,1.50
2005-1091,Morocco,5,,,,,3,,,21,1,1,1,2,2,,,,4,1,1,2,2,1.00,2.00,1,1,4,10,5,5,5,4,5,5,5,5,5,,,,7,,,,,,4,,,,,,5,,,,,,6,,,1,2,2,2,2,4,3,3,3,3,4,2,2,5,5,2,1,1,1,5,1,5,2,1,2,2,2,1,4,2,3,1,2,3,1,5,,3,1,2,1,3,2,3,1,0.61,1.09,0.67
2005-1092,Morocco,5,,,,,3,,,21,1,2,1,2,1,,,1,4,1,1,2,2,1.00,2.00,1,1,10,2,3,1,4,5,5,2,1,4,5,,,,2,,,,,,3,,,,,,5,,,,,,1,,,4,2,3,3,2,3,2,3,4,5,4,2,2,5,5,4,6,6,2,5,1,5,3,1,2,2,2,1,2,3,5,1,1,1,3,31,3,101,19,1,1,1,3,2,3,0.61,1.09,0.67
2005-1093,Morocco,5,,,,,3,,,36,1,1,1,2,1,,,7,5,1,1,4,2,2.00,2.00,1,1,7,4,4,5,5,1,4,5,1,1,5,,,,7,,,,,,6,,,,,,5,,,,,,1,,,1,2,4,2,3,1,2,3,7,4,4,2,2,5,6,5,1,2,3,5,4,5,2,1,2,2,2,1,4,3,6,2,3,3,1,21,17,6,1,1,2,3,2,4,4,0.57,1.09,0.61
2005-1094,Morocco,5,,,,,2,,,31,1,1,1,2,2,,,,4,1,1,4,1,2.00,2.00,1,1,4,10,3,4,5,1,5,5,4,3,4,,,,4,,,,,,8,,,,,,5,,,,,,3,,,3,2,2,3,4,2,2,3,3,3,6,1,2,3,5,5,3,3,3,4,2,4,2,1,2,2,2,2,1,3,2,1,3,2,,15,16,13,10,2,1,1,2,2,6,0.57,1.09,0.61
2005-1095,Morocco,5,,,,,2,,,26,1,1,1,2,1,,,2,6,1,1,4,2,1.00,2.00,1,1,10,10,5,5,5,4,3,5,4,4,4,,,,10,,,,,,,,,,,,5,,,,,,1,,,2,2,3,1,1,4,3,3,3,4,4,1,2,3,5,5,1,1,1,5,4,5,2,4,2,2,2,2,3,1,3,1,3,2,,25,3,11,7,1,4,1,5,2,1,0.61,1.09,0.67
2005-1096,Morocco,5,,,,,2,,,25,1,1,1,2,2,,,,4,1,1,4,2,1.00,2.00,1,1,2,9,3,2,5,3,3,5,4,4,1,,,,10,,,,,,,,,,,,5,,,,,,2,,,3,2,2,1,1,1,1,1,1,1,4,1,1,2,5,4,4,4,4,3,4,6,2,1,1,2,3,2,3,4,3,3,3,2,,2,31,11,20,1,1,1,2,3,6,0.61,1.09,0.67
2005-1097,Morocco,5,,,,,4,,,30,1,2,1,1,2,,,,3,1,1,1,1,2.00,1.00,1,1,8,9,4,4,5,1,4,4,4,4,1,,,,4,,,,,,1,,,,,,7,,,,,,,,,4,2,2,2,3,2,2,3,8,1,4,1,2,6,5,5,3,3,3,5,3,5,2,1,2,2,2,1,2,3,5,1,3,2,,12,11,101,23,2,1,1,3,2,6,1.38,1.09,1.50
2005-1098,Morocco,5,,,,,4,,,47,1,2,1,2,1,,,1,3,2,1,2,1,2.00,1.00,2,2,,,,,,,,,,,,,,,4,,,,,,9,,,,,,7,,,,,,,,,2,3,3,4,2,4,2,3,5,5,4,1,2,4,5,5,3,2,2,5,2,5,2,1,3,3,2,3,4,3,5,1,3,2,,11,25,11,7,2,1,3,1,2,1,1.38,1.09,1.50
2005-1099,Morocco,5,,,,,4,,,29,1,2,1,2,1,,,1,4,2,1,3,1,1.00,2.00,1,1,4,10,4,4,5,2,4,5,3,3,4,,,,10,,,,,,,,,,,,7,,,,,,,,,3,3,3,1,3,2,4,3,8,5,4,1,2,3,4,4,3,2,2,4,2,3,2,1,3,3,2,2,3,4,5,1,3,2,,25,3,26,8,2,1,1,2,2,6,0.61,1.09,0.67
2005-1100,Morocco,5,,,,,4,,,35,1,2,1,2,1,,,1,4,1,1,3,1,2.00,2.00,2,1,10,10,5,5,5,5,5,5,5,5,5,,,,4,,,,,,1,,,,,,3,,,,,,5,,,3,3,3,3,4,2,2,3,5,5,4,1,2,2,5,5,1,1,1,3,1,4,2,1,2,2,2,1,2,3,2,1,3,2,,11,25,38,1,2,1,2,5,2,6,0.57,1.09,0.61
2005-1101,Morocco,5,,,,,4,,,37,1,2,1,2,1,,,1,2,2,1,4,1,2.00,1.00,1,1,4,7,4,5,5,1,4,5,2,3,4,,,,10,,,,,,,,,,,,7,,,,,,,,,3,2,2,1,3,2,2,3,6,5,4,1,2,3,4,4,3,2,2,4,3,4,2,1,2,2,2,2,,3,2,1,3,2,,10,11,53,31,2,1,1,2,2,6,1.38,1.09,1.50
2005-1102,Morocco,5,,,,,4,,,40,1,2,2,2,1,,,1,1,2,1,4,1,2.00,1.00,1,1,4,1,2,5,3,1,5,4,4,4,5,,,,4,,,,,,6,,,,,,7,,,,,,,,,1,2,1,2,2,4,2,3,8,5,4,1,2,5,5,5,1,1,1,5,1,5,2,1,2,2,2,1,4,3,6,1,1,2,,25,11,17,1,2,3,3,2,2,1,1.38,1.09,1.50
