ID#,q0,q1000,q117,q118,q119,q120,q121,q122,q123,q124,q125,q51,q52,q53,q54,q55,q56,q57,q58,q59,q60,q61,q62,q63,q64,q65,q66,q67,q68,q69,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99,q100,q101,q102,q103,q104,st105_1,st105_2,q106,q107,q108,q109,q110,q111,q112,q113,q114,q115,q116,wt,wt2,wt3
2004-0773,Saudi Arabia,1,32,1,2,99,4,3,1,5,1,1,1,2,4,30,4,2,3,4,4,3,3,4,4,4,4,4,5,99,99,99,1,2,1,3,3,1,3,3,2,2,3,1,2,3,4,4,4,3,4,4,5,4,4,2,1,3,2,2,3,2,2,1,2,18,99,6,2,3,3,6,2,3,1,1,1,2,1.00,0.64,0.64
2004-0774,Saudi Arabia,1,32,1,1,1,5,3,1,4,2,1,1,2,7,8,7,1,8,3,3,3,1,3,4,1,1,2,2,6,2,6,2,1,1,1,1,2,2,4,2,3,1,1,2,3,5,4,5,2,2,5,5,4,4,2,1,2,1,2,2,1,3,1,3,1,15,4,1,1,1,2,4,3,2,2,1,2,1.00,0.64,0.64
2004-0775,Saudi Arabia,1,32,1,1,1,4,1,1,4,2,1,1,1,8,7,8,3,7,4,4,4,3,4,4,1,1,2,5,99,99,99,3,3,3,3,3,1,3,3,2,3,1,3,3,99,5,5,5,1,1,1,5,1,4,2,1,2,2,2,4,3,3,7,3,1,5,3,2,1,1,3,2,1,2,1,1,2,1.00,0.64,0.64
2004-0776,Saudi Arabia,1,32,1,1,1,4,3,1,4,2,1,1,5,7,4,7,3,4,4,4,4,3,4,4,2,4,4,4,2,2,4,1,2,1,1,1,1,1,2,2,2,1,4,3,99,4,4,4,1,1,1,4,1,4,2,1,2,2,2,1,1,2,2,2,4,5,6,1,1,1,3,3,2,4,4,4,2,1.00,0.64,0.64
2004-0777,Saudi Arabia,1,32,1,1,1,5,3,1,4,2,1,1,2,7,4,7,2,4,4,4,3,1,3,4,1,2,3,2,6,2,6,2,3,3,3,1,2,2,4,2,3,3,1,2,3,5,5,5,1,1,1,4,4,4,2,1,2,1,2,3,1,2,12,1,18,99,10,2,1,1,6,4,2,2,2,1,2,1.00,0.64,0.64
2004-0778,Saudi Arabia,1,32,1,1,1,4,1,1,4,2,1,1,2,7,8,7,1,8,3,3,4,1,3,4,1,2,4,2,5,2,5,2,3,1,3,3,2,2,4,2,3,2,1,2,3,5,5,5,1,1,1,5,5,4,2,1,2,1,2,4,1,2,4,3,2,3,4,1,2,2,3,4,2,3,2,1,2,1.00,0.64,0.64
2004-0779,Saudi Arabia,1,32,1,1,1,4,1,1,4,1,1,1,2,7,30,7,3,3,3,3,1,1,3,3,1,1,3,2,6,2,6,3,1,1,1,1,2,3,3,2,3,1,3,3,99,4,4,4,2,1,2,4,5,4,2,1,2,1,2,2,3,3,7,3,1,15,4,1,1,1,2,3,3,2,1,1,2,1.00,0.64,0.64
2004-0780,Saudi Arabia,1,32,1,1,1,4,1,1,4,1,1,1,2,4,7,4,3,7,3,3,3,1,3,4,1,2,4,2,3,2,6,3,1,1,1,3,2,2,4,2,3,2,1,3,99,4,4,4,2,2,2,4,4,3,2,1,2,1,2,2,3,3,7,2,1,15,4,1,1,1,2,3,3,2,2,1,2,1.00,0.64,0.64
2004-0781,Saudi Arabia,1,32,1,2,99,4,3,1,3,1,1,1,2,1,4,4,2,1,2,5,5,2,4,4,2,2,5,5,99,99,99,2,1,1,2,2,2,2,4,2,2,2,1,2,3,5,5,5,2,2,2,5,5,5,2,1,3,3,3,4,4,3,1,2,4,5,6,2,2,1,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0782,Saudi Arabia,1,32,1,1,1,4,1,1,4,1,1,1,2,1,7,1,1,7,1,3,3,2,4,4,1,2,3,3,2,5,99,2,2,1,3,3,2,2,4,2,2,2,1,2,3,4,5,5,1,1,1,5,5,5,2,1,2,1,2,3,1,2,9,1,1,4,10,3,3,3,2,4,3,2,2,2,2,1.00,0.64,0.64
2004-0783,Saudi Arabia,1,32,1,1,1,4,3,1,4,1,1,1,2,1,7,7,1,1,1,4,4,3,4,4,1,3,4,5,99,99,99,1,2,1,2,2,2,2,3,2,3,1,3,2,2,5,4,3,3,3,3,4,4,4,2,3,3,3,3,1,3,3,3,2,2,4,5,3,1,3,1,2,5,1,1,1,1,1.00,0.64,0.64
2004-0784,Saudi Arabia,1,32,1,1,1,4,2,1,5,2,1,1,6,99,99,11,6,99,5,5,5,5,5,5,5,5,5,6,99,2,1,2,2,1,2,2,1,3,3,3,3,5,3,2,2,4,5,4,4,4,5,4,2,3,2,1,2,2,2,2,3,3,13,2,1,6,3,2,3,3,1,2,3,1,1,1,2,1.00,0.64,0.64
2004-0785,Saudi Arabia,1,32,1,2,99,3,2,1,5,2,1,1,1,1,30,4,2,11,3,4,4,4,4,4,4,4,3,2,1,5,99,1,2,1,3,3,1,3,3,2,2,3,4,3,99,4,4,4,4,5,4,4,5,5,2,1,2,2,2,4,3,3,2,1,1,15,6,2,1,1,3,3,3,1,2,1,2,1.00,0.64,0.64
2004-0786,Saudi Arabia,1,32,1,1,1,3,1,1,2,1,1,1,2,3,4,3,2,4,4,4,1,1,4,4,3,3,4,3,5,5,99,1,2,1,3,3,3,3,4,2,3,3,6,3,99,5,4,4,2,2,3,5,3,5,2,1,3,3,3,2,1,2,9,1,1,5,5,3,1,1,3,3,3,4,4,4,2,1.00,0.64,0.64
2004-0787,Saudi Arabia,1,32,1,2,99,3,2,1,2,1,1,1,1,3,8,3,1,8,5,5,4,5,5,5,5,4,5,2,3,2,3,2,2,1,3,3,1,3,4,2,2,2,3,3,99,4,4,4,3,4,4,5,4,4,2,1,3,3,2,2,3,2,1,3,18,99,5,2,1,3,1,2,3,2,2,2,2,1.00,0.64,0.64
2004-0788,Saudi Arabia,1,32,1,2,99,3,2,1,2,1,1,1,2,12,7,7,3,24,2,4,3,1,4,4,1,1,4,3,2,5,99,2,2,3,3,3,2,2,4,2,3,2,1,4,99,5,5,5,1,1,1,5,5,4,2,1,2,1,2,3,1,2,12,1,19,99,10,2,3,3,2,4,3,2,2,1,2,1.00,0.64,0.64
2004-0789,Saudi Arabia,1,32,1,1,1,4,1,1,2,1,1,1,2,7,4,7,2,8,2,4,4,1,4,4,1,1,4,2,3,6,99,3,3,1,3,3,2,2,4,2,2,3,1,2,3,5,5,5,1,2,1,5,5,4,2,1,2,2,2,2,3,2,1,1,1,4,10,2,2,2,3,4,3,2,2,2,2,1.00,0.64,0.64
2004-0790,Saudi Arabia,1,32,1,2,99,3,2,1,2,1,1,1,2,4,8,4,4,8,4,4,4,3,4,4,4,3,4,2,3,5,99,1,2,1,3,3,3,3,4,2,2,3,1,2,2,4,4,4,3,5,4,4,3,4,2,1,3,3,2,4,1,2,1,3,18,99,5,3,1,1,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0791,Saudi Arabia,1,32,1,2,99,3,2,1,2,1,1,1,2,4,7,4,4,8,4,4,4,3,4,4,3,4,4,2,3,5,99,2,2,1,3,3,3,3,4,2,2,3,3,3,99,4,4,4,3,4,4,5,4,4,2,1,3,3,2,3,1,2,1,3,18,99,5,2,1,1,3,2,3,2,2,2,2,1.00,0.64,0.64
2004-0792,Saudi Arabia,1,32,1,2,99,3,2,1,2,1,1,1,2,4,7,4,1,7,4,4,4,3,4,4,3,4,4,2,1,5,99,1,2,1,3,3,1,3,4,2,2,2,1,3,99,4,4,4,3,4,4,4,5,4,2,1,3,3,3,4,2,2,2,3,1,15,5,3,3,3,2,3,3,2,2,2,2,1.00,0.64,0.64
2004-0793,Saudi Arabia,1,32,1,1,1,3,2,1,2,1,1,1,2,12,11,12,1,11,4,4,4,4,4,4,4,4,4,3,5,5,99,2,1,1,2,2,2,2,4,2,3,2,1,2,3,6,4,4,2,2,2,4,3,5,2,1,3,3,3,4,3,3,9,6,5,21,10,3,3,3,2,3,3,4,4,4,2,1.00,0.64,0.64
2004-0794,Saudi Arabia,1,32,1,1,1,4,2,1,2,1,1,1,2,12,4,12,2,4,4,4,4,1,4,4,4,4,4,3,5,5,99,1,1,1,3,3,2,2,4,2,2,1,6,2,3,5,4,5,2,2,3,5,5,5,2,1,2,2,2,1,3,3,9,6,4,5,10,2,3,3,1,4,3,3,3,3,2,1.00,0.64,0.64
2004-0795,Saudi Arabia,1,32,1,1,1,4,1,1,2,1,1,1,2,8,4,7,3,8,3,3,3,1,4,4,1,1,4,2,3,6,99,2,3,3,3,3,2,2,4,2,2,3,1,2,4,5,5,5,1,1,1,5,5,5,2,1,2,1,2,3,1,2,9,1,18,99,10,3,3,3,2,4,3,2,2,2,2,1.00,0.64,0.64
2004-0796,Saudi Arabia,1,32,1,1,1,4,2,1,2,1,1,1,2,12,4,12,2,4,4,4,4,1,4,4,4,4,4,3,5,5,99,1,1,1,3,3,2,2,4,2,2,1,6,2,3,5,4,5,2,2,3,5,5,5,2,1,2,2,2,1,3,3,9,6,4,5,10,2,3,3,1,4,3,3,3,3,2,1.00,0.64,0.64
2004-0797,Saudi Arabia,2,31,1,2,99,3,3,1,2,1,1,1,2,7,8,7,1,8,3,4,4,3,4,4,1,1,4,5,99,99,99,1,3,1,2,3,3,3,4,2,3,1,1,2,3,5,5,5,2,2,4,5,5,5,2,1,3,3,3,3,3,2,7,3,5,15,5,2,1,1,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0798,Saudi Arabia,2,31,1,2,99,3,2,1,2,2,1,1,1,7,4,8,3,7,3,4,4,1,4,4,1,1,4,5,99,99,99,3,2,3,3,3,3,2,4,2,3,3,1,3,99,5,5,5,3,3,4,4,4,5,2,1,3,3,3,2,1,3,9,1,4,5,8,2,3,3,1,3,3,2,2,2,2,1.00,0.64,0.64
2004-0799,Saudi Arabia,2,31,1,1,1,4,2,1,2,2,1,1,2,4,7,4,3,7,4,4,4,1,4,4,1,1,4,2,3,2,3,2,2,1,2,1,2,2,4,2,2,1,1,2,3,4,5,5,2,1,1,5,6,6,2,1,2,2,2,3,1,2,1,1,1,3,8,2,1,3,1,4,3,1,1,1,2,1.00,0.64,0.64
2004-0800,Saudi Arabia,2,31,1,2,99,4,3,1,3,1,1,1,5,1,4,7,2,4,4,5,5,4,5,5,4,4,5,3,5,5,99,1,2,1,3,3,3,3,4,2,3,2,1,2,2,5,4,5,2,2,2,4,4,5,2,1,3,3,3,4,3,3,1,1,4,5,10,2,3,1,3,2,4,2,3,3,2,1.00,0.64,0.64
2004-0801,Saudi Arabia,2,31,2,1,1,4,2,1,4,2,1,1,2,7,8,7,4,4,4,4,4,3,5,5,1,2,4,2,3,2,3,2,3,1,1,1,2,1,4,2,2,3,1,2,3,4,2,3,2,2,1,1,2,4,2,1,2,2,2,1,1,2,1,1,1,3,3,2,3,3,2,3,3,2,1,2,2,1.00,0.64,0.64
2004-0802,Saudi Arabia,2,31,1,1,1,4,1,1,5,1,1,1,4,7,8,7,2,8,3,3,3,2,4,4,1,1,4,2,5,2,5,1,3,1,2,1,2,2,3,2,3,3,1,2,2,3,3,2,3,2,3,3,3,3,2,2,2,2,2,4,2,2,1,3,1,6,3,2,2,2,1,4,3,2,2,2,2,1.00,0.64,0.64
2004-0803,Saudi Arabia,2,31,1,2,99,4,2,1,5,1,1,1,2,4,7,4,2,8,4,4,4,3,4,4,3,3,4,2,3,2,3,2,2,1,3,3,1,3,4,2,2,2,3,3,99,4,5,5,5,4,4,3,5,4,2,1,3,3,3,2,3,2,1,3,3,1,5,3,1,3,2,2,3,2,2,2,2,1.00,0.64,0.64
2004-0804,Saudi Arabia,2,31,1,2,99,4,2,1,5,1,1,1,2,4,7,4,2,8,4,4,4,3,4,4,3,3,4,2,3,2,3,1,2,1,2,1,3,3,4,2,2,3,3,3,99,4,3,3,4,3,2,3,3,4,2,1,3,3,2,3,1,2,1,1,4,5,3,3,4,1,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0805,Saudi Arabia,2,31,1,2,99,3,2,1,5,2,1,1,3,8,11,4,2,11,5,5,5,4,5,5,5,5,5,2,3,5,99,1,2,1,3,3,1,3,4,1,2,2,3,3,99,4,4,4,3,4,4,5,4,4,2,1,3,3,2,4,1,2,1,3,1,15,5,3,1,3,6,3,3,2,2,1,2,1.00,0.64,0.64
2004-0806,Saudi Arabia,1,31,1,2,99,4,1,1,2,2,2,1,2,3,4,3,1,8,4,4,1,1,4,4,2,1,4,5,99,99,99,1,1,1,2,2,2,2,4,2,3,2,6,2,3,5,4,5,3,2,2,3,5,5,2,1,2,3,3,4,1,2,7,1,4,6,10,2,1,3,1,3,3,2,2,2,1,1.00,0.64,0.64
2004-0807,Saudi Arabia,1,31,1,2,99,3,2,1,2,2,1,1,2,1,4,1,2,4,3,4,4,3,4,4,4,4,4,2,3,2,1,1,3,3,3,3,1,3,4,2,2,2,3,3,99,4,4,4,5,4,4,3,4,4,2,1,3,3,2,3,2,2,1,3,1,15,6,3,1,2,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0808,Saudi Arabia,1,31,1,1,4,4,1,1,5,1,1,1,2,4,8,7,3,4,3,4,4,4,4,4,1,1,4,1,2,5,99,2,2,1,1,2,2,2,4,2,3,2,1,3,99,5,4,4,3,3,3,5,5,5,2,1,3,3,3,1,4,3,5,3,4,5,10,2,3,3,1,3,3,1,2,2,2,1.00,0.64,0.64
2004-0809,Saudi Arabia,1,31,1,2,99,4,1,1,5,1,1,1,2,4,8,4,3,8,3,4,4,1,4,4,3,1,4,5,99,99,99,2,2,1,2,2,3,2,4,2,3,2,1,3,99,5,5,5,4,4,4,5,5,5,3,3,3,3,3,2,1,3,9,1,5,99,10,2,3,3,1,4,3,2,2,2,2,1.00,0.64,0.64
2004-0810,Saudi Arabia,1,31,1,1,1,4,2,1,5,1,1,1,2,4,7,4,1,7,4,4,4,3,4,4,3,4,4,5,99,99,99,1,2,1,3,3,1,3,3,1,2,3,3,2,2,3,4,4,3,4,5,4,4,4,2,1,3,3,2,4,1,2,13,3,18,99,5,3,2,1,3,2,3,1,1,2,2,1.00,0.64,0.64
2004-0811,Saudi Arabia,1,31,1,1,1,4,1,1,5,1,1,1,2,1,2,1,2,24,3,3,4,4,4,4,4,4,4,2,3,2,3,1,2,1,3,3,1,3,3,1,2,3,3,3,99,4,4,4,3,4,3,4,5,4,2,1,2,2,2,4,2,2,1,3,4,5,10,3,3,3,1,2,3,1,2,1,2,1.00,0.64,0.64
2004-0812,Saudi Arabia,1,31,1,1,1,4,1,1,4,2,1,1,2,7,8,7,3,8,3,3,3,2,3,4,1,1,2,2,6,2,6,2,1,1,1,1,1,4,6,2,4,1,3,2,3,5,4,4,2,2,4,3,3,3,4,1,3,2,2,2,1,3,1,3,1,15,4,1,1,1,6,3,2,2,2,1,2,1.00,0.64,0.64
2004-0813,Saudi Arabia,1,31,1,1,1,4,1,1,3,2,1,1,2,7,8,7,2,8,2,3,4,2,3,4,1,1,2,2,3,2,5,2,2,1,3,2,2,3,3,2,3,5,4,2,2,4,3,4,3,4,3,4,4,3,2,1,3,3,2,1,3,1,9,1,5,15,8,1,3,3,2,2,2,2,2,2,2,1.00,0.64,0.64
2004-0814,Saudi Arabia,1,31,1,1,1,4,1,1,5,2,1,1,1,4,7,7,2,4,3,4,4,1,4,4,1,2,4,5,99,99,99,2,2,3,3,3,3,3,4,2,3,3,1,3,99,5,4,4,2,2,3,5,5,5,3,3,3,3,3,4,3,3,9,1,1,6,8,2,1,3,1,3,5,2,2,2,2,1.00,0.64,0.64
2004-0815,Saudi Arabia,1,31,1,1,1,4,2,1,2,1,1,1,2,4,7,4,4,7,5,5,5,3,5,5,3,5,5,2,5,2,5,1,2,1,3,3,3,3,4,2,2,3,4,3,99,4,4,4,3,4,4,5,4,4,2,1,2,2,2,4,1,2,1,3,18,99,6,2,1,1,3,3,3,2,2,1,2,1.00,0.64,0.64
2004-0816,Saudi Arabia,1,31,1,2,99,3,1,1,2,1,1,1,2,1,7,7,3,4,1,4,4,1,4,4,1,4,4,5,99,99,99,2,2,1,3,3,2,2,4,2,3,2,6,3,99,5,5,5,3,3,3,3,3,5,2,1,3,2,2,2,3,2,9,1,5,15,10,2,3,1,3,3,3,4,2,4,2,1.00,0.64,0.64
2004-0817,Saudi Arabia,1,31,1,2,99,4,2,1,2,1,1,1,2,1,8,7,3,8,1,4,3,1,3,3,1,1,4,2,3,5,99,2,2,2,3,3,2,2,4,2,2,3,1,2,4,5,5,5,2,1,1,5,5,4,2,1,2,1,2,3,1,2,1,3,1,4,10,2,3,3,2,4,4,4,4,4,2,1.00,0.64,0.64
2004-0818,Saudi Arabia,2,30,1,2,99,3,2,1,2,2,1,1,1,7,4,7,3,4,4,4,4,1,4,4,1,3,4,3,5,5,99,2,3,1,2,2,3,2,4,2,3,1,3,3,99,5,5,5,3,3,2,5,2,5,2,1,3,3,3,4,1,2,2,1,4,5,5,2,1,1,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0819,Saudi Arabia,2,30,1,2,99,3,2,1,2,2,1,1,2,4,30,4,4,1,3,3,3,3,4,4,3,4,4,3,5,3,5,1,2,1,2,3,2,3,3,2,2,3,1,2,2,6,5,4,4,4,5,5,5,1,2,1,2,2,2,3,1,2,1,3,4,99,3,3,2,2,3,3,3,3,3,3,2,1.00,0.64,0.64
2004-0820,Saudi Arabia,2,30,1,1,2,5,1,1,2,2,1,1,3,3,4,8,2,3,4,4,2,3,4,4,4,4,4,2,3,2,5,2,2,1,2,1,2,1,3,2,2,3,3,2,2,3,5,5,4,4,5,5,5,1,2,1,2,2,2,3,1,2,7,2,1,15,4,1,1,1,2,2,1,2,1,1,2,1.00,0.64,0.64
2004-0821,Saudi Arabia,2,30,1,1,1,3,2,1,2,2,1,1,4,2,1,1,1,4,4,4,4,4,4,4,4,4,5,2,5,2,3,1,2,1,3,1,3,2,3,2,3,3,1,3,99,4,5,5,4,4,5,5,4,3,2,1,2,2,2,4,1,2,5,2,1,99,3,2,3,3,1,2,3,1,1,2,2,1.00,0.64,0.64
2004-0822,Saudi Arabia,2,30,2,2,99,3,2,1,3,1,1,1,2,8,7,7,3,4,2,3,3,1,3,3,1,1,4,2,3,5,99,2,3,1,3,3,2,2,4,2,2,2,1,3,99,5,5,5,1,1,1,5,5,5,2,1,2,1,2,2,1,2,13,3,19,99,10,3,3,3,2,4,3,2,2,1,2,1.00,0.64,0.64
2004-0823,Saudi Arabia,2,30,1,2,99,3,2,1,3,1,1,1,2,4,7,3,1,11,4,4,3,3,4,4,3,4,4,2,3,2,3,2,2,1,2,1,1,3,4,2,2,2,1,3,99,4,4,4,3,4,4,3,5,5,3,1,3,3,2,4,1,2,1,3,4,5,3,2,2,2,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0824,Saudi Arabia,2,30,1,2,99,3,2,1,3,1,1,1,2,4,7,4,2,8,4,4,4,3,4,4,3,3,4,2,3,5,99,2,2,1,3,3,1,3,4,1,2,3,1,2,2,3,3,3,4,3,4,4,5,4,2,1,3,2,2,2,1,2,1,2,5,15,5,3,2,2,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0825,Saudi Arabia,2,30,1,1,1,3,2,1,6,2,1,1,2,4,7,4,2,8,3,4,4,1,4,4,1,1,4,2,3,2,3,2,3,1,3,1,2,2,2,2,2,2,3,2,2,3,5,4,3,3,3,4,4,4,2,1,3,2,2,2,2,2,2,3,1,3,3,1,4,1,3,3,2,2,2,2,2,1.00,0.64,0.64
2004-0826,Saudi Arabia,2,30,1,2,99,4,1,1,4,2,1,1,2,7,4,7,1,4,4,4,4,1,4,4,1,1,4,6,99,2,6,2,1,1,1,1,2,2,4,2,2,2,1,3,99,6,6,6,6,6,6,6,6,6,4,4,4,4,4,8,4,4,1,3,1,15,2,1,2,3,2,4,2,2,2,1,2,1.00,0.64,0.64
2004-0827,Saudi Arabia,2,30,1,2,99,4,2,1,5,1,1,1,2,4,7,4,2,3,4,4,3,3,4,4,4,3,4,2,5,2,1,1,2,1,2,1,1,3,3,1,2,2,3,3,99,4,5,5,4,3,5,4,4,5,2,1,3,3,2,3,2,2,1,3,4,5,3,2,1,2,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0828,Saudi Arabia,2,30,1,2,99,4,2,1,5,1,1,1,3,4,11,4,3,11,5,5,5,4,5,5,5,5,5,2,3,2,3,1,2,1,2,1,1,3,4,2,2,2,3,3,99,4,5,5,5,4,4,3,4,5,2,1,3,3,2,2,2,2,1,3,1,6,5,3,3,3,2,3,3,2,2,2,2,1.00,0.64,0.64
2004-0829,Saudi Arabia,2,30,1,1,1,4,1,1,5,1,1,1,1,2,1,2,1,1,3,3,4,4,4,4,4,4,4,2,5,2,5,1,2,2,2,2,2,2,3,1,1,1,5,2,2,4,5,5,5,5,5,5,5,5,2,2,1,1,1,7,3,1,12,5,12,99,9,1,2,2,5,1,2,1,1,1,1,1.00,0.64,0.64
2004-0830,Saudi Arabia,2,30,1,1,1,4,2,1,5,1,1,1,2,4,7,4,2,7,4,4,4,3,4,4,3,4,4,2,3,5,99,2,2,1,3,3,1,3,4,2,2,3,1,2,2,3,4,4,3,4,5,4,4,3,2,1,3,3,2,2,2,2,1,1,3,15,10,3,1,1,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0831,Saudi Arabia,2,30,1,2,99,4,1,1,5,2,1,1,2,4,8,7,4,3,4,3,1,4,4,1,1,4,5,5,99,99,99,2,1,1,2,3,1,3,4,3,2,2,1,2,3,5,5,5,3,3,4,5,5,5,2,1,2,3,2,2,1,3,7,3,6,7,8,2,1,3,1,4,3,2,1,2,2,1.00,0.64,0.64
2004-0832,Saudi Arabia,2,30,1,2,99,3,2,1,5,2,1,1,2,4,30,4,2,3,4,4,3,3,4,4,4,4,4,2,3,2,3,2,2,1,3,3,1,3,3,2,2,1,3,3,99,4,4,4,3,4,4,5,4,4,2,1,3,3,2,5,1,2,12,3,18,99,10,3,1,1,3,3,3,1,1,1,2,1.00,0.64,0.64
2004-0833,Saudi Arabia,2,30,1,2,99,3,2,1,5,2,1,1,2,4,7,4,2,7,4,4,4,3,4,4,3,4,4,2,3,2,3,2,2,1,3,3,1,3,4,2,2,3,4,3,99,4,4,4,3,4,4,4,5,4,2,1,3,3,2,5,4,3,1,3,18,99,5,3,1,3,6,3,3,2,2,2,2,1.00,0.64,0.64
2004-0834,Saudi Arabia,2,30,1,2,99,3,2,1,5,2,2,2,1,10,11,10,2,11,4,4,4,4,4,4,4,4,4,5,99,99,99,2,2,1,1,2,2,2,4,2,2,3,6,3,99,5,4,5,1,1,1,5,5,5,2,1,2,3,3,4,3,3,1,1,1,6,10,3,3,3,2,3,4,4,4,4,2,1.00,0.64,0.64
2004-0835,Saudi Arabia,2,30,1,2,99,3,2,1,5,2,1,1,2,7,4,7,2,4,4,4,4,3,4,4,3,4,4,2,3,2,3,2,2,1,3,3,1,3,4,2,2,3,3,2,2,4,3,3,3,4,4,3,4,4,2,1,3,1,3,5,2,2,12,3,18,99,5,3,1,1,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0836,Saudi Arabia,1,30,1,2,99,3,2,1,2,2,1,1,2,4,7,3,2,9,3,4,3,3,3,4,4,4,4,2,3,2,6,2,3,1,2,1,2,2,3,2,3,1,1,3,99,4,3,2,3,3,2,2,3,3,2,1,2,2,2,2,2,2,5,1,4,5,3,2,3,3,2,3,3,2,1,1,2,1.00,0.64,0.64
2004-0837,Saudi Arabia,1,30,1,2,99,3,2,1,2,2,1,1,2,7,4,7,2,4,4,4,3,4,4,4,3,4,4,2,3,2,3,1,2,3,3,3,1,3,4,1,2,2,3,3,99,4,3,4,3,4,5,4,4,5,2,1,3,3,2,2,2,2,1,3,18,99,5,3,1,3,2,2,3,2,2,2,2,1.00,0.64,0.64
2004-0838,Saudi Arabia,1,30,1,2,99,3,2,1,2,2,1,1,2,4,1,8,1,11,3,4,4,3,4,4,4,3,4,2,3,5,99,2,2,1,3,3,1,3,3,1,2,4,2,3,99,4,4,4,3,4,4,5,4,3,2,1,3,3,2,2,2,2,1,3,18,99,5,3,1,3,2,3,3,2,2,2,2,1.00,0.64,0.64
2004-0839,Saudi Arabia,1,30,1,2,99,3,2,1,2,2,2,2,2,10,11,10,1,11,5,5,5,5,5,5,5,5,5,3,2,2,3,2,2,1,3,3,1,3,4,1,2,2,3,3,99,4,4,4,5,4,3,4,4,3,2,1,3,3,2,2,2,2,1,3,1,3,10,1,2,2,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0840,Saudi Arabia,1,30,1,1,1,4,2,1,5,1,1,1,2,1,11,1,1,11,3,4,4,4,4,4,4,4,4,2,3,5,99,1,2,1,3,3,1,3,4,2,2,3,1,3,99,4,4,4,5,4,3,4,4,5,2,1,3,3,2,4,2,2,1,3,4,5,8,3,3,3,1,2,3,2,2,2,2,1.00,0.64,0.64
2004-0841,Saudi Arabia,1,30,1,2,99,3,2,1,5,1,1,1,2,4,2,4,2,1,3,3,4,3,4,4,4,4,4,2,3,5,99,1,2,1,3,3,3,3,4,2,2,3,1,3,99,4,4,4,3,4,4,3,4,4,2,1,3,3,2,2,1,1,1,1,15,99,8,2,2,2,3,3,3,2,2,2,2,1.00,0.64,0.64
2004-0842,Saudi Arabia,1,30,1,1,1,4,1,1,5,1,1,1,2,4,7,4,2,7,4,4,4,3,4,4,3,4,4,2,3,5,99,2,2,1,3,3,1,3,4,2,2,2,1,3,99,4,4,4,3,4,4,5,4,3,2,1,3,3,2,4,1,2,1,3,15,99,10,3,3,3,1,2,3,2,2,2,2,1.00,0.64,0.64
2004-0843,Saudi Arabia,1,30,2,2,99,3,2,1,5,1,1,1,2,4,7,4,2,7,4,4,4,3,4,4,3,4,4,2,3,2,1,1,2,1,2,1,1,3,3,2,2,3,4,3,99,4,4,4,3,4,5,4,4,3,2,1,3,3,2,3,2,2,1,1,15,99,5,3,3,3,1,2,3,2,2,1,2,1.00,0.64,0.64
2004-0844,Saudi Arabia,1,30,1,2,99,4,2,1,3,2,1,1,2,8,7,8,3,7,3,4,3,2,4,4,1,1,4,2,6,5,99,2,2,1,3,1,2,2,4,2,2,2,1,2,4,5,5,5,1,1,1,5,5,5,2,1,2,1,2,3,1,2,9,3,1,4,10,2,3,3,2,4,3,3,3,2,2,1.00,0.64,0.64
2004-0845,Saudi Arabia,1,30,1,1,1,4,1,1,3,2,1,1,3,4,8,4,3,8,4,4,4,1,4,4,3,1,4,5,99,99,99,2,3,3,3,3,3,3,4,2,3,3,4,3,99,5,5,5,1,1,1,5,1,4,2,1,2,2,3,8,4,3,1,3,5,15,4,2,3,3,1,4,4,3,2,3,2,1.00,0.64,0.64
2004-0846,Saudi Arabia,1,30,1,1,1,4,1,1,4,2,1,1,2,7,4,7,1,4,3,4,3,1,3,3,1,1,2,2,5,2,6,2,1,1,1,1,2,2,3,2,3,2,1,2,3,5,5,5,1,1,1,4,4,4,2,1,2,1,2,2,1,2,9,3,1,15,10,2,3,3,2,4,2,2,2,2,2,1.00,0.64,0.64
2004-0847,Saudi Arabia,1,30,1,2,99,4,1,1,3,2,1,1,1,7,4,7,3,4,4,4,3,1,4,4,1,2,4,6,99,5,99,2,3,3,3,1,2,2,3,2,2,2,1,3,99,4,4,4,1,1,1,4,1,4,2,1,2,2,2,7,4,3,9,3,18,99,10,2,3,3,2,4,2,3,3,3,2,1.00,0.64,0.64
